Country or area of destination	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
DOM	393720							32	170	1015		152	38	197		37	20				243			15	8	162	5		611	71		70		3	3	115	22	1152			128	3		600	1406			3416			8	291			3639			28			24		14		551		253								26	1936						1574			60			53		406			22	311969		402	20		90		29	26	31		58	3595	126	327		10							142									17			24		31				1419						32						562			277		24			52		75		717		24	1353	48	42	101	5763		535	11		41	457		92	130		61					17		69									10		6691		18		26		70	990	24		25						22		29		33			72		457		24457	78	173			5132		11				
GRD	6980								38							30			176											14								225																									74																														337														114																																	10																																			15	162		373																																	2170												696				337						
GLP	94942			150																	446								61									478																									4215	913												53722	1148					303											181	14731					193							348											245														9104																772																		450					383						398																							36			215	285																	402		478											
HTI	35104									856				313																								1156						613	640			1523				504			2213									4426												818						1648																								2257		408																											563																											646				2843																													2384							694																				2956		527			4616						
JAM	23677								156							677			545			7																1342														101			1830								140				135																				210			309						164			1152																																																			126									76																98	335		229																																	2349									4843		6329											
MTQ	59575			99																	127								74																151																		408	134												45448	1744											5270						1707												81																																																																400						1960																											150																	148													
MSR	1277								110																													35																									265	23																													230																																																																																		113			28																																	42									100		115											
PRI	304969									1369																58			97									121						1052	1351			4589				551			12882								1215	63981	999	36	1327									146						515								511			52	235		174			51						46	195	44	85	92								18																		3142												28			239									617			603	143	19	36			107																											2344											18					176		22							176		185814	443				2147	65					
KNA	7245								393							21			94											237																																	195																								56						756														138																																	418																																				102		166																																	259												596										
LCA	12100							35	112			17	16			13			736			1		6					12	4								243		4					47										23								217	46							4					70	288					70	23				151	42		4			1867						112							16	177	25									9														450				9					30							19		1			13					17		27							16									42			412															9						40				27								738									920		627	19				60						1
VCT	4485								57										340																			163	195																	148							83																								424						238														123																																																																				39	233												104																							943									781		331											
SXM	26200							367	513			1234							70											868								37	158						167			200							795	1368							1435	3403												85												1968					1735	2635					801	57							2269										308														72																701																			25									1001	467		67																					500												200									50		300	67				40						
TTO	48226																		1029																			1716							836										74																											245					7748						9490						926								1445																																													485											334													850		6207																																										2286		5597					1672						
TCA	17216															51																						448																										1354																														9756																																																																																																																														410		715											
VIR	56684							972	4585			501							368											2463									396																								5505	4638																							590							644													373																																	780																										4065									7096	3423		518																																	1758											16851											
Central America	1749940	61	4	215			54		111	18865	103	32	824	767	3	90	1	93	77	5	1475	3926	1	11	4	3072			7496			435				3	48	14902		72	5		110	9344	26486	3543	1	83841		8		21542	28	162	21902	26	3	362	110	125	490		54	9902	6423	296	58046			3	77			1	208	10888	29		1		61	11096	1	4	559	354	30		5	70305			69	1582		52462	492	1	5085	320	478	62	412		2507	9138	1402	3916	207	5	73				4	34	1576			44	4	106	15	3		82	1				4				28950		1	15		4	304	4	96			8	2526		163	322811		234			317	3	247		14370		778	14373	2075	1314	770	2593	3	6335	4		649	3225	1		1	1	40	1				190	208	80			94		155	51		37	289		28470	1	365	1	20	1	859	2748	496		26	246					162	4	396				9	983		6374	4	790667	7	3606	1		21260	132			28		1
BLZ	46360																																					704							1661	61																					7486															58								19995				46		7313			318								421										46																		2988																	38																																																																				347		3474											
CRI	405404	4	4	12			3			1446	7	32	66	127	3	12	1	3	11	5	288	137	1	11	4	364			536			70				3	9	1387		8	5		110	1713	287	3235	1	20945		8			3	24	5669		3		36	3	63		5	1082	1253	11	13688			3	1			1	22	860	12		1		12	1838	1	4	33	8	8		5	2620			28	70		3865	73	1	54	17	99	15	29		168	2100	214	279	11	5	8				4	1	87			11	4	9	15	3		4	1				4				3053		1	15		4	4	4	12			8	578		17	287766		3			75	3	9		11250		82	3726	137	298	77	351	3	250	4		98	590	1		1	1	1	1				13	1				8		22			1	57		2130	1		1	20	1	135	662	11		26	7					34	4	8				9	153		512	4	12480	7	309	1		1360	1					1
SLV	40324									207			26	11				6	38		50	325				51			232									235						220	248	8		553				840			123									69	118											205						218								8521						11198			11		17		11		41	270	10	52																											1644												32			7502									433		11	224	18		12	59		123				17																							512		44				34	57																		86		5176		72			232						
GTM	66384									482			61									796				118			209									345						262	571			1005				1010			574									95	145	28	16691									224	17					556				346								12		7292				35	16				114	320		128									22																		15250												122			7443							23		261		51	397	58		25	88		1553														28													1148		40				41	134	68										22							194		7514		122			246						
HND	27288									136											18	260				105			169									249		64				221	425			618				613			436				45					96	328		6303									103						208								3280				31											64	186	19	99	29																										1116												65			5530									284		25	274				92		49				18																							374		110				22	44																		73		4851		48			73						
MEX	969538			98			51			14171	96		434	501				49			847	2312				1988			4532			246					39	10208						5267	7272			13259				2482	25	52	11822			329	29	78	252			1603	2201	195	8864								147	8533						7033			249					32888				940		9980	369		863	153	273	47	270		1172	4964	126	3004	41		65					33	973					58				54															233						1070		103	3572		138			177		144		1766		506	5886	499	849	440	1335		3960			397	1572										106	32	58			47		103	51			193		20727		28				415	1460	191			117					27		270					329		3379		741918		2371			10786	81					
NIC	37333	57		105					111	251				36		78					41	23				60			114			57						234						117	129			415				9989			873					44	49			64	103		2267				76					138						279								1634				22		11534			23				23			177	19	38	25																										785												248					23							376			212				54		57				180											175									36			427						31	78																73		66		3298		36			148				28		
PAN	157309									2172			237	92				35	28		231	73				386			1704			62						1540						1544	15893	239		47046				6608		86	2405	26		33			126		49	6893	2275	62	2747								39	825					49	906			277		22			1367			41	461		1280	50		3816	115	73		79		948	1121	593	316	101								448			33		39				24									4114						67		84				411		43	10998		32			65		71				103	3654	1363	167	216	614		343			154	848					39					43		22			39		30				39		3152		143				181	313	226			122					101		96					428		1717		11956		648			8415	50					
South America	5143123	222	195	564		60	6708	48	61	245599	680	750	2847	5355	3	62	40	72	288	318	5129	808	28	3	2	439379	106	3	199652		142	1017	37	22	1319	49	182	12124	985	1	69	11		238912	66161	679	6	1144188	1	135	1	3964	339	2397	21946	237	72	3056	815	107	1539		730	16284	76892	3798	2334	56	28	347	80	1	38	7	963	50703	763	3	33	24	78	48281	134	17	3618	18	379	2013	2	1939	68	939	24629	17909	1	1630	3858	509	2125	1023	1163	703	891	2	4780	238315	599	61096	1646	48	71	85	121	6	1084	435	21770	7	39	292	96	1217	198	52	16	241	10	62	62		4441	2	2	1	24681	5	141	2	281	1	1918	1506	22	53	4	61	9478	2	677	3619	21	1351	4	4	1340	22	533	22	4870	3	633874	404855	1200	13769	195426	1639	18	20956	467	353	5047	6769	17	499	38	1624	1	481		51	65	2079	207	1230	29	9	170	64	315	1165	1	12	14471		237091	48	961	49	29746	2	2635	8293	18278	9	1780	632	49	22		168	3772	148	1397	23	2	4	67	5652	73	25471	98	96022	1	149982	32	203	62240	192	1	2		6	128
ARG	1805957	9	66	104		1	9				559	1	274	1019			12		7	303	535	6				363142			42283		1	294	11		24	20		528						184687	12476	4		1722		42		123	1	983	1102		47	1787	14		244		4	682	952	237	73			49	32			1	70	7071						8009		14	1014	15	11			96	1			41		66	813	8	97	21	137	37	64		555	132014	11	3859	73		2				282	124	788			51	78	391	96	7		2			2						1445	4	10				211	11	9	2			386		11	91	1	43			58		5		160		588452	169262	58	6339	4299	75		7066	454		1074	1878								16		80					2			807		2	126		84969	2		8	5		203	791	1121		1484	60					34	45	633			4	1	3820		940	1	4450		115039		8	1236	5				1	2
BOL	122846	1	1	3			5			36671	4	2	196	137	1			24		4	324	777	1				9		22066			21			110		10	1185	18		56			4063	968	2		2546		6		125	3	33	1520	152	2	45	9	3	92		3	100	861	18	109			5	2				34	1063	1				2	1737	12		22					122	8		4	13		198	23	2	92	9	53	9	66	2	156	1226	6	1426	14	20	12		4	4			32		2	3		8	5	4	6	7		1	4			1			8179			1	2		21	3				5	328		55	95		11	1		83		20		94	1	3681	9691	40	187	150	33	1	434	7		62	282	1									11	7	18		2	1	43	17	8	1	3	15		10463	2	11	2			252	566	2	1	10	8		1			4	1	32					98		776	4	4206		437	4		664	10				2	3
BRA	592568	57		182		10	6389			28815	52		584	2318		15	26	45	27	8	1679	5	26			38479	68				141	236	25	21	1184	27	138	1573			11			15298	19229			6792		79		383	329	567	2059			443	143	96	489		21	309	1715	3089	226	55		180	10				512	9476	701		30		63	16101	61		1527		26			289	57	937	1880	54		125	1512	478	874	722	530	506	170		1994	36843	137	48633	1045	24	45	85	20		5	140	12229		34	95	16	626	53	35	9	120	9	6	27						2656		125		22		503	1413	12	48		50	3295		271	364	13	1109			569	19	255	20	516		38911	14890	354	3452	136775			8503			1691	1375	13		30	144		29		34	58	325	184	429	29	6	114		210	175			1573		30469	40		37	270		629	2959	2044	7	38	456	49	9			186	79	359	21			64	727	32	4904	87	23308		23840	26		2844	126					101
CHL	369436	9	15	28		6	34	9	8	68235	7	2	607	325	2	1	2	3	2	3	514	1	1	3	2	27728	7	3	11100			56	1	1	1	2	3	1125		1	2	11			5743	32	6	15882	1	8	1	283	6	233	1856		8	89	3	8	142		18	169	22016	50	142	1	1	28	3	1	2	6	82	1929	1	3	3	1	1	7404	4	3	119	3	3	4	2	138	2	2	9	28	1	146	201	7	336	53	50	14	78		329	2299	13	496	52	4	12		6	2	1	21	125	7	3	13	2	11	9	6	1	15	1	55	9		3	1	2	1	1058	1	6	1		1	53	29	1	3	4	6	398	2	87	146	7	12	3	4	208	3	98	2	313	2	746	152768	122	270	153	112	17	652	6	2	219	360	3	204	8	37	1	3		1	7	11	3			1	36		32	24		7	12446		5376	4	429	2	2	2	764	630	186	1	247	22		12		168	7	10	157	2	2		2	98	3	11049	6	4902	1	1392	2	1	2514	7	1	2		3	7
COL	124271	108	46	24		43	50	39	37	2986		287	205	195							406					764			2181			79						919						1889	1901	33						986		53	1699	85		37	187		85		46	359	13284	131	358			20					44	1924						2204			109					429			18	108		329	131		134	78	110	21	122		437	2621	56	674	167				24			18	1095					42	21												2664						66						329		48	535		43			77		39		1929		202	4708	90	238	107	516		256			207	628										66						21		27			50		6188						170	634	127								35		44					211	38	1155		17587		406		194	43511						
ECU	325366	38	49	33			29			3712	26		257	376		33					588					1051			1825			134					31	1610						7797	2013	67		192805				645		56	2059			217	334		126			243		58	359						36		87	1557				23		3029	26		49					296				66		323	149		157	44	132	24	137		358	2644	26	505	49								305									24									1553						33						570		77	270		34			162		36		663		167	9422	86	215	252	344		557			208	1028										61							34				84		5138		67				240	1349	44		1						31							276		1484		18426		659			6120	33					
FLK	1436									24			38																															181																																																																																																									24																									295																																														798		17											
GUF	96288			83																	129								16137																1032																		599													20809												2009					3044	15743												117									796																4398																															419								351						1246																							25501																																		
GUY	13126								16							13			229										1821									341							980																		37																								165																				252																																																																					187		314																					3920												751									490		1071					1791						
PRY	160299									58456																1034			75523									2337						2161	800																															630						1700																								898		2032																											1645																													894				2610																											905																									179		1615		2997									
PER	84066			18			14			10503			546	183							569					5293			4495			63						1132						6644	3780			5492				312		85	838			84	81		225			168	3691	19	100			16					66	2136	32					2707			55					151				46		153	60	14	191	40	54	18	196		469	3095		3102	37								65						14			41			20						1380						36						628		87	149					98		67		319		505		298	184	120	127		616			170	582						21				31								27			108		4695						261	722				20							49					223		1534		9115		567			2995						
SUR	39713																												4626																4526																																																11264																																																						2890																																																																																						
URY	76263									26767																			11972									303						1247																																456						1340																								7091																													516																										995	88		1130	542						591																								15709																									440		604					565						
VEN	1331488		18	89			178			9430	32	458	140	802					23		385	19				1888	22		5623			134						1071	967					14945	12713	541		918949				1107		387	10813		15	354	44		136		2	14254	34373	196	967		27	49	33				68	3652	28				12	4050	31		723		174			418			8410	1810		290	969		244	56	97	74	58		482	49467	98	369	209				67			132	7131			130		139				32					40				3585				257		995	50					654		17	1969		99			85		13		876		215	43607	152	860	53028	432		262			825	636				10		114				1494	13	783			17		22	97			69		73179		454		48		116	642	14754			66					2724	13	123					199		1722		10721		4645				11					15
NORTHERN AMERICA	50970996	100275	85695	65713			12976	75	29299	201274	75883	6133	93727	73143	20398	31811	1995	204852	70963	66711	54605	50679	3210	10796	2210	85656	156578	355	375877	95	3945	79830	1010	6225	33927	182967	38300	871437		240	235	750		120890	2535294	436221	16609	719020	175	1655		98877	27086	126197	1068599		20024	96828	340	38278	51261	1330	38579	852191	448844	187128	1236078	55	32319	14515	177333	260		65235	29206	251647	70	115	830	17783	23232	812881	137419	285	217459		43084	430		832780	18979	85	352974	652048		497639	121274	5785	2302696	108774	468934	172037	162723		164486	645561	801873	392992	74074	22701	114341		36781	6608	219356	32327	205988	90	75672	11918		43094	3240	3335	610	85023		1435	15451	6063	490	485	13160		12238357	6803	150	1035	1525	6322	116637	1125	75068	680		56924	192952	85	39979	263026	625	244019			32065	1385	439700		109985	410	38406	455344	2297915	639643	338520	1711045	1650	1239666	43889	265	252560	478704	4920		18311	24142	285	33502	15889			48251	36584	66584	905	36985	39863		13145	14668		142830	124219		99485	174429	38617	55695	15438	280	55213	60964	83088	4881	33580	236924		2390		16666	307666	19496	127577	2260	147		46388	390451	24235	1261495	53065	267047	45	58376	34706		196910	1401125			37448	20882	54097
BMU	18884												68	32							23																	2272							346										30						36			21												144						246	124		105								101	1658					522				101		74	72	601	665																		37																										185					37						406	33	1600						26																						258		129							124									67		143		82					4008		3481											
CAN	6761226	40945	13610	51080			2565	75	2400	18870	3495	535	18970	17095	2930	1525	1995	45325	15460	10435	19720	1705	3210	2280	2210	4605	35885	355	22920	95	3945	17555	1010	6225	175	23755	8105			240	235	750		25195	611990	205425	5565	60555	175	1655		8190	5570	80030	13340		3780	20390	340	18445	14720	1330	3045	8450	13635	49935	43655	55	7750	4090	24535			24290	9695	90445	70	115	830	490	1655	152345	21260	285	66475		10325	430		15285	3795	85	87945	80100		5805	38985	630	517890	13520	120685	49520	28035		22845	240825	126035	25805	9400	9360	24515		12860	1740	14305	6125	81105	90	2125	4705		5335	420	3335	610	22365		1435	7435		490	485	13160		69695		150	1035	1525	590	56280	1125	8080	680		8345	98510	85	10065	8945	625	27625			4390	1385	136865		2445	410	7110	26715	454340	152285	138520	380	1650	112400	12195	265	82595	73025	4920		2085	4290	285	11495	110			13515	4985	39030	905	2395	11000		13145	8305		22255	40555		9060	132130	7395	13755	865	280	6800	18750	22085	1060	9610	13360		2390		90	67205	10985	25275	425	65		11750	65450	14355	537040	19465	263470	45	6600	4795		16005	165125			1700	3220	9060
GRL	6226																															17						11							8																5083											260			12	13						76																98																																																									73								52	28							11																														93					129														19		31											
SPM	1017																																					187																																						745																																																																																																																																																		65											
USA	44183643	59330	72085	14633			10411		26899	182404	72388	5598	74689	56016	17468	30286		159527	55503	56276	34862	48974		8516		81051	120693		352957			62258			33752	159212	30195	868967						95695	1922950	230796	11044	658465				90687	21516	46167	1055229		16244	76438		19833	31422		35534	843720	435209	137193	1192423		24569	10425	152798			40945	19499	160300				17293	21577	660214	116035		150879		32759			817495	15184		264928	570290		491834	82289	5057	1784284	95254	348249	122517	134587		141567	404664	675237	366522	64674	13341	89826		23921	4868	205051	26202	124883		73547	7213		37759	2820			62621			8016	6063					12168662	6803				5732	60357		66988			48579	94442		29914	254081		216209			27602		302798		107540		31296	428629	1843117	487297	198400	1710665		1127266	31694		169928	405679			16226	19852		22007	15779			34736	31599	27554		34590	28863			6363		120575	83406		90296	42299	31222	41940	14573		48320	42090	61003	3821	23970	223435				16576	240394	8511	102159	1835			34638	325001	9880	720428	33600			51776	29911		180905	1236000			35748	17662	45037
OCEANIA	7124634	33194	2930	2860	1931		530		20	15100	1200	40	76263	21490	480	260	1340	32792	430	1850	6530	30	60	540	1720	890	39750	1140	19278	10	3060	3600	10	1880	10	38731	260	54268		60		40		30194	464907	92919	2570	13210		1070	20554	390	470	70402	780	110	21370	14744	320	2480	12076	100	10	130	1950	43183	11000		3090	2250	10036	20	120	112320	9520	90798		994	10	90	520	138688	4200	480	122510		120		1171	420	660	10	620	70		210	24170	700	387262	85487	39449	57635	79089	850	10710	206971	1110	53614	5270	1220	16981	4010	4310	350	11908	5580	89680	130	2930	2410	20	3090	240	240	1000	145679	420	40	48680	398	20		27010	70	3450	12473	30	700	1880		2524	890	24785	1130	2104	28397	109529	5534	525813	830		4690	5330	2542	4370	1250	34929	2352	210	2040	450	9620	258683	60923	18470	5073	690	116787	1040	230	18977	25866	590	30	30	50		20	88026			13885	390	36875	2960	3350	58763		6000	8400	2996	7682	204444		15135	105084	3070	25460	100	350	11333	17264	9330	110	51490	58612	10600	300	2157	34551	1690	1404	39830	60		2608	2890	17643	5230	1440434	3838	130980		10650	1280	6793	3360	210688	7448		630	7574	41890
AUS/NZL	6830423	33194	2930	1380	260		530		20	15100	1200	40	63086	21490	480	260	1340	31053	430	1850	6530	30	60	540	1720	890	39750	1140	19278	10	3060	3600	10	1880	10	38013	260	53890		60		40		30194	455919	92901	2570	13210		1070	20508	390	470	70402	780	110	21370	14744	320	2480	12076	100	10	130	1950	43183	11000		3090	2250	10036	20	120	109823	9520	31299		490	10	90	520	138264	4200	480	122510		120		60	420	660	10	620	70		210	24170	700	385593	75956	39449	57635	79047	850	10710	206471	1110	50282	5270	1220	16981	1778	4310	350	11140	5580	89680	130	2930	2410	20	3090	240	240	1000	145485	420	40	48680	20	20		27010		3450	10	30	700	1880		1810	890	24785	1130	650	28257	109512	1470	517810	830		4690	5307		4370	1250	33158		210	1309	450	9620	210682	60923	18470	140	690	111978	1040	230	18977	25840	590	30	30	50		20	71396			13885	390	36875	2960	3350	58712		6000	8400	1940	7682	204444		14910	105006	3070	25460	100	350	11333	17137	9330	110	51490	58612	10600	300	2025	31700	1690	590	39830	60		1494	2890	17643	5230	1438147	3810	105124		10650	1280	1300	3360	209372			630	7574	41890
AUS	5882980	30880	2930	1380	260		530		20	13770	1200	40		20170	480	260	1340	29590	430	1850	6530	30	60	540	1720	890	39750	1140	16550	10	3060	3600	10	1880	10	31750	260	44540		60		40		28270	371590	85500	2570	12420		1070	6640	390	470	68500	780	110	21370	13640	320	2480	10620	100	10	130	1950	41870	11000		3090	2250	8990	20	120	64000	9520	28140		490	10	90	520	126300	4200	480	122510		120		60	420	660	10	620	70		210	22850	700	329520	71160	36490	51860	70990	850	10710	204700	1110	40290	5270	1220	15390	610	4310	350	11140	5580	89680	130	2930	2410	20	3090	240	240	1000	129910	420	40	48680	20	20		27010		3450	10	30	700	1880		1810	890	23270	1130	650	27240	88480	1470	517810	830		4690	770		4370	1250	30600		210		450	9620	183780	58940	18470	140	690	84160	1040	230	16710	20770	590	30	30	50		20	20450			12600	390	36320	2960	3350	53560		6000	8400	1940	6210	155930		14910	96490	3070	25460	100	350	10060	14080	9330	110	51490	51600	10600	300	560	10070	1690	590	39830	60		160	2890	16380	5230	1187150	3810	85330		10650	1280	1300	3360	203800			630	6200	33720
NZL	947443	2314								1330			63086	1320				1463											2728							6263		9350						1924	84329	7401		790			13868			1902				1104			1456					1313					1046			45823		3159						11964															1320		56073	4796	2959	5775	8057			1771		9992			1591	1168														15575																	1515			1017	21032						4537				2558			1309			26902	1983				27818			2267	5070							50946			1285		555			5152					1472	48514			8516					1273	3057				7012			1465	21630						1334		1263		250997		19794						5572				1374	8170
Melanesia	105684			763									12135					1326																		718		232							1310						32																							409		36627		355																					1409	9513			42			344		286				1036			768											194															714							278	2866								1771			666			1568					98				26							287								51				1014				140	78														1349		814				399				2074	28	752				5046		753	7413				
FJI	13351												1832					1326																											898						32																																																1255													753																																					588								1771																						287												683																			1293						399				331						179							
NCL	61158			763									337																							718									114																															36117		355																						1221						344									768																										714								146																																														140																	814														4698		753	7413				
PNG	25424												9056																									232							87																													83																									154	8218			42					255																		78																							1754														1439					64				26															51				218					78														27										1594	28	721				98							
SLB	2760												298																																211																													110																										74								31				283														116																						36	79											603			129					34																																																				42		31				71							
VUT	2991												612																																																													216		510																																																																								242	299											63																															113																			29										107													
Micronesia	115948				21								232					413																											6226	18																												765															1111																			2886				1147																		378						12463									1446	140			78					2542				2352					45316			4933		4415											22												29																			15						524				9		21661						351					
GUM	75416																																												2133																																																															2082																						232						10545																		2197				1437					29028			3915		2687																																																						18343						351					
KIR	2868												81																																																													489																																																																							1446				54																																																																			288				9		40											
MHL	3089																																												296																													111																																						259																								228																											509																																																											1346											
FSM	2805				21																																									18																																											39																			49																						94																								77				285					128					48											22																															15												176											
NRU	2112												151																																377																													165																																						888																																					24														74																												29																									236																	
MNP	24168																	413																											2894																																												810																			599																						52						1245										140												630					12330			1018		1604																																																						1395											
PLW	5490																																												526																																												262																			156																												445																		268									3247					76																																																						361											
Polynesia	72579			717	1650								810																									146							1452						14																							1323		22872		149				424																	260	18						156		160				49																						70											8		17	3786	5059				23							65			1117					296											16321												13				85							127							132	1487						191				204		3443				447		212	35				
ASM	23555																																												600																													333																																																																											726														1117					296											15842																														21	1291												2553						212					
COK	3769												336																																																													138				112																																																																					17		2340				16							17																			9																																									86		29											
PYF	31640			717									74																									135							648																													32		22012						379																	41	18						156		25																																								2235	117																																														85							127																		89		441				222			35				
NIU	545												21																																																													45																																																																											167																														20																															116						76						20											
WSM	5122				1650								346																									11							62						14																							142		11						45																										53				16																																	8				1551				7							48																															13																		111	80						76				29		381				17							
TKL	429												33																																																																																																																																								158																														165																																					39																	
TON	4589																																												142																													580																									219									82																																																																							267																																																						
TUV	154																																																																									53																																						33																																																																			18																																											19											
WLF	2776																																																																											849		37																																																								70														1551																																																																														208							

