Country or area of destination	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
COD	588950						260002																											37686																1551																																																																																																																											124070																					4472				626																			33																
GNQ	8658																																				638																																							3649			205																																																																									287																													1194														1023																																						
GAB	243992			65			652														295		30722										4115	99			29811	172				2663			204					9604			1997						95	5242								51167								9457						52	3745								2929														10			19									1472											32463													421											14072																115					124								3830		17951										8										17					13546				132										324											
STP	2700						404																												1538																																	165											268																																																															131																							134																																																																				
Northern Africa	1893613	482	380	22342			27		16	235	378		1106	1235	31	14	1237	1348		937	2191		35				351		350		65	65	62	35			674	3124			16119	72278		26	4664			55	4664	1854			1249	97			81	190	97	21057	967	1613			12	35595	828		134445	25	72915				971	41259				28		16381	766	9	3522					9	1710	1236					426		6860	15547	507	79071	90		666	13648		1976	24988	912	3242		13427	59			14887		45	16385				39	27	10437	27	2332				2552			62		322	14			9823	16	12	251			2502		87		427	19924			412	2012	2762						4942	959	43		1631	916	59		757	14160	42									42561	4594		19	270	729		59			121986	784	204524	4142	536	408541	40813			996	2109	36800	724	113	3539						5427	3090	256			2161	937	3134	10982	372	17246			440		32			143923	26368	25	32
DZA	216964																																																																											481						674																		1253		6574				641			1958				1037				1061			2016						760																																														695										3404										10035					27470	1384					2665																	693		948								143923	2051		
EGY	295714	198	113	832			27		16	235	151		442	568	31	14	378	239		262	528		35				59		123		65	65	62	35			119	596			55	313		26	722			55	854	70			216	97			81	190	97	123	284	349			12		200		499	25	614				234	2684				28		7258	221	9	1200					9	135	87					126		1169	2707	142	10013	90		666	3930		1084	4929	200	130		2811	59			2986		45	4714				39	27	2651	27	203				147			62		77	14			997	16	12	251			932		87		110	762			114	510	581						1030	357	43		376	281	59		228	7038	42									7693	399		19	59	135		59			19145	210		390	210	126871	26632			332	1282	7129	122	113	1011						735	841	45			82	161	672	2954	137	5674			106		32				5354	25	32
LBY	683998	284	267	3184							227		664	667			859	1109		675	599						292		227									2528				763			2727				3810	357			529							385	683	1264				18630	628		1759		1624				737	4459						6235	545		2322							275					300		4295	11587	365	60735				5934		892	18101	712	298		9579				9816									7026		300				317					245				4346						1570				317	2528			298	1502	2181						3912	602			1255	635			529	6427										31464	994			211	594					92720	574	1576	644	326	253786	12797			664	827	24624	602		2528						2736	2249	211				776	2462	6415	235	8768			334						18963		
MAR	70909			10190																	1064																													1427																1410										26733						1093									747											1300				1438											1024			892												1208																																																			1370												3108								1553									1956								920		1386											
SDN	578363																																								16064	71202			1215															20549						14675			132187		70677																												1396												2814									1701								734																								16214																																								86		202948																							2079																
TUN	43172			8068																																	555																504													880										6669						1121																				449				1705														7062								771				409									4480											420																															317														414						829																			470											
ESH	4493			68																																																																								233															828	874																																				324				471																																																			1514																																																		
