Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
KAZ	3635168										9371				49582					70858												4369													2215														63135											1140											3356	223789			8041																													6901		1140						4495																																										29952				32711	12348			2411227																																16210									48062	1076				346445							288745								
KGZ	200294										2332				4584					9748																									265														1741											561					113						3204	1783																												12681						883						2596																																										3147				228	2606		472	109517																																2160									1029	980				26235							8999			104					
TJK	273259	7537		133							198			65	173					698											23							50							48														160		134																				682	138																	634		1229	64								862				11590																																	51		112		25					36	152							37					808			236377																														53											797	458				1241		322		281	22		7746							23	
TKM	195061										6961				7584					3841																																																														1845																			3182									18029																																																														61930																																														4789							84386								
UZB	1159190										5811				20153					26266																																																														8523																												13062				4845																																																										868913																																11381										755				123355															
Eastern Asia	7776716									3040			30311	584				25637			712								285703			15				17118		51912							4028071	299169	97353											16	579		596					1754									709	14777						10306	2093														10		59168	241784	4533		1898			4003		44635		1626				1907	1											32458									2199			25374					4437			20207	2122		8059			4295			474		34760					69775	494639	1252	2211			796352				19094															12574		4				1938		2755	37235					1970	1858			4	115751							204							49446		166791		1	24197			237768					
CHN	999527												5341					4106											75920									8818								276187	24934																																																				9164	40608								6975																		6264																															4500					13779	74674					190888				3028																								5554										15525														9308		27365						28712					
HKG	2883051												9233					450																				14889							2343868		72419																													2228						2003																	18285	136697			705			652		14406																		15511																				9479	1035		2282								7672						119757		110			4907				89															10033								407	794						737				19492														17942		13457						11100					
MAC	353654																																												290609	22817																																																																																																																					12243		1616																																									991																											
PRK	48939												204					153											2807									334							28877	165																																																					366	1428								212																		197																															171					527	2954					5411				146																								154										568														307		1038						758					
JPN	2321476									3040			10291	569				10073			712								206976							3518		10303							741022																596					1754									705	10135						6332	2093																25716	31068	4533		1185			3332																				9099									2199												1087		3548			2800			474		12695					55469	238797	1240	485			593449				8573															2541								2348	10494					1970	1102				47047														16990		57066						82482					
MNG	18204												214	15																		15						137							9683													16	579																4	75						167															10		101				8			19		381		193					1																																										19						157	12				1697				2758																	4													19			4								204							89		732		1				254					
KOR	1151865												5028					10855																		13600		17431							614012																															2339						1804																	5536	31983								22661		1433				1907												1387												25374					4437			10728			2229			1495					9703						46057									4500																					1938			20239										32128														4810		67133			24197			114462					
Southern Asia	13582402	3848759									2454		1239	23	11886		31280	3178887							35147				15274		25134					20109		2012							197423												252				38					169								170	61	1580						2973			90									37					2419636	158017	3946	85435			55	5354		15889	277	2181	2356		7774		90253		751			40						221753	1606						293										292160			578582	20		152			639			14768	332	1220723						967		187		276	644				1484										5848			25		14707						263		35	161324					190	438	73	4100		11449							2570	4851			704		13555	40419		50594			204			28736				673	
AFG	133612																																																																																																																																																												95041																																															4100																					204								
