Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
ALB	76695																																					1337																																															46575																					13113																																																																																																			787								2892									3498											
AND	42146									151			41								241																							58																	138															4298						355																								151																																			471						229																297		6771																														26841						49	74																		907		89		77									
BIH	82952													273																																								33326																						217						807															240									213																																	5675																																424	185												26662					6791	3363															3783																												
HRV	585298		157							171			753	1461							197						430399		103			262						413						87														810			27									5					24	401						7773			128												971						10			1609										21						17	13												15												241		55						30							41		595	25						314																		529	20724					59						244	712			9737															171		835					24						
GIB	8054																																																																																																																																												1107																																																						2077																									3607													
GRC	1111665	331	400253	317	14	4	19	17	14	626	8899	92	20267	2232	387	21	26	4694	8	564	4629	2	9	6	3	18	363	3	2094	8		38534	7	137	34	10	434	12366		10	91	24	4	391	560	51		385		843	5	27	116	355	208		22334	3692	11	1215	813	24	398	169	46	32396	34		99	60	2484	2		9	841	6549	4	16	45	44	71047	100521	403	12		8	6	20	3	33	24	7	12	32	8	33	1572	32	6983	259	1279	6875	494	12	667	5876	65	555	813	24182	365		147	211	6	56	2207	2	21	587	6	167	98	140		47	4	17	99			5	52		360		22	12		2	795	65	21	7		14	3056		501	30	75	1872		4	455	3	10780	12	137	1	56	168	6061	15330	289	20	12	202	6297	6	26311	72032	125	13	6		41	114	6	9	4	456	46	5057	33	258	70		407	107	19	66	5497		963	811	392	1404	2	13	5380	3535	5996	66	928	322	6	14	2		10	291	75879	97		77	93	16512	77	13169	398	22885	15	119	5167	5	859	224	26	4	25	240	450
VAT	785																																																																																																																																																																																																																																								
ITA	2121690	201	274410	15810		19	1744		11	20245	279		5226	10099	98	27	3	23300	22	1674	9092	16	1205		36	1942	26839	10	28883		5	10400	4866	553	5037	292	3468	6280			63	124		5164	74865			14993	11	3287		509	12341	29115	11659		195	5675	40	2031	2610	22	44	17793	21748	43336	5302	60	7417	392	5569			17	2210	46478			136	641	317	55640	34369		10037		8			598	1276	268	32	228	33	560	5052	227	43109	1227	8971	1498	2307		2553		173	7130	2973	542	1050	11	106	79	179	636	4149	6	212	3371	38	580	628	1097	49	339	11	501	1137	8		385	10538		4023	13	203	57	6055		285569	314	165	35	2	195	9831		428	436	168	26781			975	40	24765	6	580	14	577	46699	85612	43160	5245		2	3896	6658		118736	14816	631		9	11		6	67	3105	43	92	49429	78207	859	818	208		3273	4828	5	6842	1238		19545	41977	373	813	21	8	4038	22130	3399	30	44512	3842	44	1395		16	82	75563	9618	44		1	363	13711	19	31644	786	26750		2596	1161	3	8748	2017			227	159	151
MLT	21521		48	31						10	15		4128	55				9		10	58						77		40			230						1603							220									54			31	30			37					379			15		37				25	161					19	578	9		32												15		194	18	13	48	141		12	968		23	19		27		12			13	44			645		10				24															124						214		13		15	76			19		81					12	139	61	10				20		224	382										15		302			12		40	19		10	67		35	13	19	12			83	50	151		43	63					13	239	117					92	9	7313		1051			10								23
MNE																																																																																																																																																																																																																																									
